measure	title
H.Con.Res. 1	Regarding consent to assemble outside the seat of government.
H.Con.Res. 2	Providing for an adjournment or recess of the two Houses.
H.Con.Res. 20	Providing for a joint session of Congress to receive a message from the President.
H.Con.Res. 21	Providing for an adjournment or recess of the two Houses.
H.Con.Res. 24	Expressing the sense of Congress that the President should grant a posthumous pardon to John Arthur "Jack" Johnson for the 1913 racially motivated conviction of Johnson, which diminished his athletic, cultural, and historic significance, and tarnished his reputation.
H.Con.Res. 37	Honoring former Congressman Dalip Singh Saund and remembering his achievements as the only Indian American to serve in Congress.
H.Con.Res. 39	Providing for an adjournment of the House.
H.Con.Res. 57	Expressing the sense of the Congress that the President should grant a pardon to Marcus Mosiah Garvey to clear his name and affirm his innocence of crimes for which he was unjustly prosecuted and convicted.
H.Con.Res. 58	Expressing the sense of Congress that the United States Postal Service should issue a commemorative postage stamp honoring former Representative Shirley Chisholm, and that the Citizens' Stamp Advisory Committee should recommend to the Postmaster General that such a stamp be issued.
H.Con.Res. 59	Recognizing the contributions of African-American basketball teams and players for their achievements, dedication, and contributions to the sport of basketball and to the Nation.
H.Con.Res. 60	Acknowledging African descendants of the transatlantic slave trade in all of the Americas with an emphasis on descendants in Latin America and the Caribbean, recognizing the injustices suffered by these African descendants, and recommending that the United States and the international community work to improve the situation of Afro-descendant communities in Latin America and the Caribbean.
H.Con.Res. 61	Expressing the sense of the Congress that a postage stamp should be issued honoring the Nation's coal miners.
H.Con.Res. 62	Expressing support for the designation and goals of "Hire a Veteran Week".
H.Con.Res. 63	Permitting the use of the rotunda of the Capitol for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust.
H.Con.Res. 64	Expressing the sense of the Congress that there should be established a National Teacher Appreciation Day.
H.Con.Res. 65	Commending the Republic of Turkey for assuming the leadership of the International Security Assistance Force in Afghanistan and for its ongoing contribution to the war against terrorism.
H.Con.Res. 66	Providing for the adjournment or recess of the two Houses.
H.Con.Res. 68	Expressing the sense of Congress that the Government of Japan should formally issue a clear and unambiguous apology for the sexual enslavement of young women during colonial occupation of Asia and World War II, known to the world as "comfort women", and for other purposes.
H.Con.Res. 69	Expressing the sense of Congress that the United States should resume normal diplomatic relations with the Republic of China on Taiwan, and for other purposes.
H.Con.Res. 70	Expressing the sense of Congress that the United States should strongly oppose China's anti-secession legislation with respect to Taiwan.
H.Con.Res. 71	Expressing the sense of Congress that there should be established a Caribbean-American Heritage Month.
H.Con.Res. 72	Expressing the sense of Congress that W.E.B. DuBois should be recognized for his legacy of devotion civil rights and scholarly advancement, and as a defender of freedom.
H.Con.Res. 74	Expressing the sense of Congress with respect to the urgency of providing adequate assistance to the Co-operative Republic of Guyana devastated by severe flooding as a result of torrential rains from late December 2004 to January 2005.
H.Con.Res. 75	Expressing the sense of the Congress that the illegal importation of prescription drugs severely undermines the regulatory protections afforded to United States consumers, and for other purposes.
H.Con.Res. 76	Expressing the sense of Congress that the United States should urge the People's Republic of China not to enact into law the so-called "anti-secession" legislation with respect to Taiwan and should reaffirm its unwavering commitment to Taiwan, and for other purposes.
H.Con.Res. 77	Expressing the sense of Congress with respect to the murder of Emmett Till.
H.Con.Res. 78	Expressing the grave concern of Congress regarding the arrest of Ayman Nour, the leader of the Al Ghad party, by the Government of the Arab Republic of Egypt and the support of Congress for continued progress toward democracy in Egypt.
H.Con.Res. 79	Permitting the use of the rotunda of the Capitol for a ceremony to award a Congressional gold medal to Jackie Robinson (posthumously), in recognition of his many contributions to the Nation.
H.Con.Res. 80	Commemorating the service to the Nation during World War II of the African-American members of the United States Marine Corps who came to be known as the Montford Point Marines.
H.Con.Res. 82	Expressing the grave concern of Congress regarding the arrest of Ayman Nour, the leader of the al-Ghad party, by the Government of the Arab Republic of Egypt and the support of Congress for continued progress toward democracy in Egypt.
H.Con.Res. 95	Establishing the congressional budget for the United States Government for fiscal year 2006, revising appropriate budgetary levels for fiscal year 2005, and setting forth appropriate budgetary levels for fiscal years 2007 through 2010.
H.Con.Res. 101	Calling upon the President to order an immediate moratorium on the rendition of persons to Syria and all countries that routinely use torture as reported by the Department of State's 2004 Country Reports on Human Rights Practices, and for other purposes.
H.Con.Res. 103	Providing for an adjournment of the two Houses.
H.Con.Res. 121	Congratulating the public schools of Westchester Public School District 92 1/2 in Westchester, Illinois, on the occasion of the District's 75th anniversary, and for other purposes.
H.Con.Res. 138	Expressing the sense of Congress that the United States Postal Service should issue a commemorative postage stamp honoring famous Staten Island-born 19th Century Hudson River Painter Jasper Francis Cropsey, and the Citizens' Stamp Advisory Committee should recommend to the Postmaster General that such a stamp be issued.
H.Con.Res. 141	Calling on the International Olympic Committee (IOC) to change the venue of the 2008 Olympic Games unless the People's Republic of China makes significant progress in ending human rights abuses.
H.Con.Res. 142	Congratulating Disneyland and the Walt Disney Company on the 50th Anniversary of the opening of Disneyland.
H.Con.Res. 167	Providing for a conditional adjournment of the House of Representatives and a conditional recess or adjournment of the Senate.
H.Con.Res. 198	Providing for an adjournment or recess of the two Houses.
H.Con.Res. 212	To correct technical errors in the enrollment of the bill H.R. 3377.
H.Con.Res. 214	Revising the concurrent resolution on the budget for fiscal year 2006.
H.Con.Res. 225	Providing for an adjournment or recess of the two Houses.
H.Con.Res. 226	Providing for a correction to the enrollment of H.R. 3.
H.Con.Res. 263	Providing for a conditional adjournment of the House of Representatives and a conditional recess or adjournment of the Senate.
H.Con.Res. 274	Reaffirming the continued importance and applicability of the Posse Comitatus Act.
H.Con.Res. 276	Requesting the President to return to the House of Representatives the enrollment of H.R. 3765 so that the Clerk of the House may reenroll the bill in accordance with the action of the two Houses.
H.Con.Res. 287	Honoring the memory of the members of the Armed Forces of the United States who have given their lives in service to the United States in Operation Iraqi Freedom and Operation Enduring Freedom.
H.Con.Res. 290	Honoring the goals and ideals of National Nurse Practitioners Week.
H.Con.Res. 291	Honoring the service of American Indians in the Armed Forces.
H.Con.Res. 292	Expressing the sense of Congress that the United States Postal Service should issue a commemorative postage stamp honoring the late Rosa Parks.
H.Con.Res. 295	Providing that any agreement relating trade and investment that is negotiated by the executive branch with other countries must comply with certain minimum standards.
H.Con.Res. 301	Expressing the sense of Congress that any bill or joint resolution that provides for the establishment of a new Federal program should contain a provision that eliminates one or more current Federal programs of equal or greater cost.
H.Con.Res. 303	Urging the United States Trade Representative to take action to ensure that the People's Republic of China complies with its obligations to protect intellectual property rights, and for other purposes.
H.Con.Res. 307	Providing for a conditional adjournment of the House of Representatives and a conditional recess or adjournment of the Senate.
H.Con.Res. 308	Directing the Clerk of the House of Representatives to make a technical correction in the enrollment of H.R. 3058.
H.Con.Res. 318	Expressing concern regarding nuclear proliferation with respect to proposed full civilian nuclear cooperation with India, and for other purposes.
H.Con.Res. 324	Directing the Secretary of the Senate to make a technical correction in the enrollment of S. 1281.
H.Con.Res. 326	Providing for the sine die adjournment of the first session of the One Hundred Ninth Congress.
H.Con.Res. 332	Providing for a conditional adjournment of the House of Representatives.
H.Con.Res. 333	Expressing the sense of Congress that the Supreme Court misinterpreted the First Amendment to the Constitution in the case of Buckley v. Valeo.
H.Con.Res. 334	Commending the persons who were inducted for service in the United States Armed Forces during World War II.
H.Con.Res. 345	Providing for an adjournment or recess of the two Houses.
H.Con.Res. 361	Providing for an adjournment or recess of the two Houses.
H.Con.Res. 373	Establishing the congressional budget for the United States Government for fiscal year 2007 and setting forth appropriate budgetary levels for fiscal years 2008 through 2011.
H.Con.Res. 376	Establishing the congressional budget for the United States Government for fiscal year 2007 and setting forth appropriate budgetary levels for fiscal years 2008 through 2011.
H.Con.Res. 398	Expressing the sense of the Congress that the United States Fish and Wildlife Service should incorporate consideration of global warming and sea-level rise into the comprehensive conservation plans for coastal national wildlife refuges, and for other purposes.
H.Con.Res. 440	Providing for an adjournment or recess of the two Houses.
H.Con.Res. 459	Providing for an adjournment or recess of the two Houses.
H.Con.Res. 483	Providing for an adjournment or recess of the two Houses.
H.J.Res. 3	To acknowledge a long history of official depredations and ill-conceived policies by the United States Government regarding Indian tribes and offer an apology to all Native Peoples on behalf of the United States.
H.J.Res. 8	Every Vote Counts Amendment
H.J.Res. 9	Proposing an amendment to the Constitution of the United States to repeal the twenty-second article of amendment, thereby removing the limitation on the number of terms an individual may serve as President.
H.J.Res. 16	Proposing an amendment to the Constitution of the United States to repeal the sixteenth article of amendment.
H.J.Res. 18	Recognizing the historic commitment of the United States to the recovery of and full accounting for Americans who are prisoners of war or in a missing status.
H.J.Res. 19	Providing for the appointment of Shirley Ann Jackson as a citizen regent of the Board of Regents of the Smithsonian Institution.
H.J.Res. 20	Providing for the appointment of Robert P. Kogod as a citizen regent of the Board of Regents of the Smithsonian Institution.
H.J.Res. 21	Proposing an amendment to the Constitution of the United States relating to school prayer.
H.J.Res. 22	Proposing a balanced budget amendment to the Constitution of the United States.
H.J.Res. 23	Disapproving the rule submitted by the Department of Agriculture relating to the establishment of minimal-risk regions for the introduction of bovine spongiform encephalopathy into the United States.
H.J.Res. 24	Proposing an amendment to the Constitution of the United States to repeal the 22nd amendment to the Constitution.
H.J.Res. 25	Proposing an amendment to the Constitution of the United States relating to the maintenance of a system of social insurance that provides social security for its citizens.
H.J.Res. 26	Proposing an amendment to the Constitution of the United States relating to Congressional succession.
H.J.Res. 46	Proposing an amendment to the Constitution of the United States to deny United States citizenship to individuals born in the United States to parents who are neither United States citizens nor persons who owe permanent allegiance to the United States.
H.J.Res. 47	Increasing the statutory limit on the public debt.
H.J.Res. 68	Making continuing appropriations for the fiscal year 2006, and for other purposes.
H.J.Res. 70	Requiring the President to submit to Congress a plan for the withdrawal of United States Armed Forces from Iraq, and for other purposes.
H.J.Res. 71	Proposing an amendment to the Constitution of the United States to authorize the President to reduce or disapprove any appropriation in any bill presented by Congress.
H.J.Res. 74	Proposing a balanced budget amendment to the Constitution of the United States.
H.J.Res. 75	Making further continuing appropriations for the fiscal year 2006, and for other purposes.
H.J.Res. 77	Proposing an amendment to the Constitution of the United States to authorize the President to reduce or disapprove any appropriation or authorization of new direct spending in any bill presented by Congress.
H.J.Res. 85	Proposing an amendment to the Constitution of the United States to clarify that the Constitution neither prohibits voluntary prayer nor requires prayer in schools.
